source;kode_mk;clo_id;skill_text;skill_type;original_clo
TELU;BBK2MAB2;CLO3;dokumentasi;HSkill;BBK2MAB2: Mahasiswa mampu memahami dan menerapkan jenis-jenis dokumentasi dalam implementasi sistem serta menggunakan berbagai metode pengujian dalam 
TELU;BBK2MAB2;CLO3;implementasi sistem;HSkill;BBK2MAB2: Mahasiswa mampu memahami dan menerapkan jenis-jenis dokumentasi dalam implementasi sistem serta menggunakan berbagai metode pengujian dalam 
TELU;BBK2MAB2;CLO4;proses audit sistem informasi;HSkill;BBK2MAB2: Mampu memahami proses audit sistem informasi serta memenuhi standar industri serta dapat mengidentifikasi berbagai jenis pengujian perangkat
TELU;BBK2MAB2;CLO4;pengujian perangkat lunak;HSkill;BBK2MAB2: Mampu memahami proses audit sistem informasi serta memenuhi standar industri serta dapat mengidentifikasi berbagai jenis pengujian perangkat
TELU;BBK2MAB2;CLO1;pemeliharaan sistem;HSkill;BBK2MAB2: Mahasiswa mampu membedakan pengujian fungsional dan non-fungsional serta menerapkan kedua jenis pengujian tersebut dalam studi kasus, serta 
TELU;BBK2EAB3;CLO1;perancangan interaksi;HSkill;BBK2EAB3: Mampu menjelaskan dasar perancangan interaksi serta menerapkannya secara efektif.
TELU;BBK2EAB3;CLO4;pengujian;HSkill;BBK2EAB3: Mampu menguji produk dengan metode pengujian usability
TELU;BBK2AAB3;CLO1;sistem informasi;HSkill;BBK2AAB3: Mahasiswa mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise atau masyarakat, serta menggunakan teknik, keahlian, da
TELU;BBK2AAB3;CLO1;pengembangan aplikasi;HSkill;BBK2AAB3: Mahasiswa mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise atau masyarakat, serta menggunakan teknik, keahlian, da
TELU;BBK2AAB3;CLO1;data-driven organization.;HSkill;BBK2AAB3: Mahasiswa mampu mengidentifikasi kebutuhan sistem informasi dalam konteks enterprise atau masyarakat, serta menggunakan teknik, keahlian, da
TELU;BBK2AAB3;CLO4;pengembangan aplikasi;HSkill;BBK2AAB3: Mampu menggunakan teknik, keahlian, dan perangkat dalam pengembangan aplikasi dan integrasinya dalam konteks kasus nyata.
TELU;BBK2AAB3;CLO2;perancangan sistem informasi;HSkill;BBK2AAB3: Mampu membuat perancangan sistem informasi untuk memenuhi kebutuhan organisasi menuju data-driven organization
TELU;BBK2AAB3;CLO2;data-driven organization;HSkill;BBK2AAB3: Mampu membuat perancangan sistem informasi untuk memenuhi kebutuhan organisasi menuju data-driven organization
TELU;BZK4AAC4;CLO4;teknologi informasi;HSkill;BZK4AAC4: Mampu memanfaatkan teknologi informasi untuk menyelesaikan permasalahan yang dihadapi.
TELU;BBK43BB3;CLO1;layanan keuangan;HSkill;BBK43BB3: Mahasiswa mampu memahami konsep dasar layanan keuangan berbasis sistem informasi dan financial technology.
TELU;BBK43BB3;CLO1;sistem informasi;HSkill;BBK43BB3: Mahasiswa mampu memahami konsep dasar layanan keuangan berbasis sistem informasi dan financial technology.
TELU;BBK43BB3;CLO1;financial technology.;HSkill;BBK43BB3: Mahasiswa mampu memahami konsep dasar layanan keuangan berbasis sistem informasi dan financial technology.
TELU;BBK43BB3;CLO3;teknologi finansial.;HSkill;BBK43BB3: Mahasiswa mampu melakukan analisis independen tentang perkembangan terbaru layanan keuangan melalui sistem informasi serta teknologi finansi
TELU;BBK43BB3;CLO2;layanan keuangan;HSkill;BBK43BB3: Mampu memahami konsep layanan keuangan yang dibutuhkan ke depan serta menganalisis permasalahan terkait berbasis sistem informasi dan financ
TELU;BBK43BB3;CLO2;sistem informasi;HSkill;BBK43BB3: Mampu memahami konsep layanan keuangan yang dibutuhkan ke depan serta menganalisis permasalahan terkait berbasis sistem informasi dan financ
